Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
A.H. Roscoe,A.H. Roscoe,"AeHe Roscoe (Firm: Nashville, Tenne )e  Journal, 1853, Septe-1857, Dece  1 item( 800 ppe )e  Wholesale and retail druggist and dealer in paints, oils, and dyestuffse  Summary: Journal (account book ) documents the sale of chemical and herbal drugs, paint and painting supplies, dyestuffs, personal and household supplies, and garden seeds to individuals and businessese  le Drugstores--Tennesseee 2e Paint shops--Equipment and supplies-—- Tennesseee 3e Dyes and dyeinge 46 Household supplies--Tennesseee 5c Herbs--Therapeutic usee 6+ Seed industry and trade--Tennessees 7e Nashville ite® nne )—--Commercee  20 MAY QO1 23804905 NDHYme","1853, Septe-1857",1853,1857,"Nashville, Tenne",1,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n1,1,2,Org.,USA,North America
"Abbott, William B","Abbott, William B","Abbott, William B.  Papers, 1862-1864 Frederick Co., Va.  Section A  5-16-57  GUIDE  10 items",1862-1864,1862,1864,"Abbott, Va.",3,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n3,1,4,Male,USA,North America
Abbott & Company,Abbott & Company,"Abbott & Company Papers, 1856-1871  Philadelphia, Pennsylvania  a  Section A 66 items  OCT 10 ""49",1856-1871,1856,1871,"Philadelphia, Pennsylvania",5,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n5,1,5,Org.,USA,North America
Abbott & Company,Abbott & Company,"Abbott & Company. Papers 1856-1871 Philadelphia, Pennsylvania, €     Miscellaneous letters concerning scales sold by Abbott & Company.",1856-1871,1856,1871,"Philadelphia, Pennsylvania",7,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n7,1,7,Org.,USA,North America
"Abel, Ernest L.","Abel, Ernest L.","Abel, Ernest L. Papers, 1922-1952  West Palm Beach, Palm Beach Co., Fla.  Saat; 550 items & 8 vols. Box 1 of Labor Archives",1922-1952,1922,1952,"West Palm Beach, Palm Beach Co., Fla.",8,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n8,1,8,Male,USA,North America
"Abercrombie, John Joseph","Abercrombie, John Joseph","Abercrombie, John Josephe  Papers, 1771-1907.  131 items.  Ue Se brigadier general who served in Second Seminole War and Mexican Ware  Family papers date from 1839 to 1879-6 The earliest one is an unsigned letter by Abercrombie in Flae in diary form relating an expedition against the Indianse Early correspondence pertains to Abercrombie's career in the militarye The Civil War correspondence is mainly to and from family members, but a few are from other officers about military matterse One wartime letter concerns politics in Pae in 1863 and Lincolne Much of the correspondence is to and rro@- ""Sallie"" Patterson, Abercrombie's sister and wife of  29 NOV 94 31526811 NDHYme SEE NEXT CRD",1771-1907,1771,1907,,14,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n14,1,10,Male,Unknown,Unknown
"Abercromby, James, Baron Dunfermline","Abercromby, James, Baron Dunfermline","4 Abercromby, James, First Baron Dunfermline  Papers, 1840-1851  ""Colinton House,” Midlothian Co., Scotland  XVIII-=z 20 items 10-28-58",1840-1851,1840,1851,Scotland,18,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n18,1,12,Male,Scotland,Unknown
"Abernathy, Thomas E.","Abernathy, Thomas E.","Abernathy, Thomas E,  Papers, 1800-1857  Pulaski, Giles County, Tenn. Section A 8 items  7-21-59",1800-1857,1800,1857,Giles County,26,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n26,1,14,Male,USA,North America
"Abernethy, Charles Laban","Abernethy, Charles Laban","Abernethy, Charles Laban, 1872-1955.  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK A STAFF MEMBER TO CONSULT THE ACCESSION RECORDS.",1872-1955,1872,1955,,28,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n28,1,15,Male,Unknown,Unknown
"Abernethy, Daniel","Abernethy, Daniel","ABERNETHY, Daniel Letters, 1862-65  near Petersburg, Va.  Section A 19 pieces",1862-65,1862,1865,"Petersburg, Va.",29,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n29,1,16,Male,USA,North America
"Abernethy, M. A & Co.","Abernethy, M. A & Co.","ABERNETHY, M. A.  Ledger, marke ’ Aberu eth, Drecdeil Gounly ,  North Carolina.  435 pp. Boards 31x20 ecm,  Mercantile Accounts, See A. tn "" Poirnandng flies  MAR 17 1941 = Lnventery File",1886-1903,1886,1903,North Carolina,31,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n31,1,17,Org.,USA,North America
Abernethy Library of American Literature,Abernethy Library of American Literature,"Abernethy Library of American Literature |) 5,  (Typed copies of A. L. S.'s of T. W. White, P. H. Hayne, L. Hearn, DuBose Heyward, R. M. Johnston, J. P. Kennedy, W. G, Simms, and O. Thanet. Originals in Abern&thy Library of American Literature, Middlebury College, Vt.)  Pe A 63 pieces 1836-1898,  Section A  mayi4ia2 @&",1836-1898,1836,1898,Vt.,33,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n33,1,18,Org.,USA,North America
