Start,Text,Clean
1701,"Stampe, Thomas, de 17146  al 1701-1714.  Ve  Rector of Langley Burrell, Wiltshire, England; Nonjurore  Volume of writings and correspondence of Thomas Stampe,y who, in 1701, recanted an oath of allegiance to William and Mary, and thus became a Nonjuror while a beneficed clergy of the Church of Englande Writings and letters all relate to the issues of religion, government, and allegiances, and mention George Hickes and Thomas Ken, Bishop of Bath and Wellse The Bishop of Salisbury, Gilbert Burnet, was one of th e correspondents e  cate toned [@:- accession recorde  pJ 07 AUG 95 32935270 NDHYme SEE NEXT CRD Watts, Isaac *  Papers, 1701-1788  Stoke Newington, London, England EE XX/H- LT 2 items and 8 vols. 12.~1-66  *Part of the Frank Baker Collection of Wesleyana and British Methodism",stampe thomas de al rector langley burrell wiltshire england nonjurore writings correspondence thomas stampey recanted oath allegiance william mary thus became nonjuror beneficed clergy church englande writings relate issues religion government allegiances george hickes thomas ken bishop bath wellse bishop salisbury gilbert burnet th correspondents cate toned accession recorde pj watts isaac stoke newington london england ee xxh lt part frank baker wesleyana british methodism
1702,"Grenoble (Généralité)  Records, 1702-1762 Grenoble, France  4-19-71 1 volume Recataloged, 2-6-75  Entered in National Union Catalog of Manu-  scripts as French Misc. Papers",grenoble généralité grenoble france recataloged entered national union catalog manu scripts french misc
1703,"Macky, John Papers, ca. 1703-1704 London, England . 18-.G 1 volume 10-13-58  Recataloged, 9-9-69 Southwell, Edward, I Papers, 1703-1724 London, England  SAH = E- 4 items l item added,  8-4-1959 10-26-60 6 10:8",macky john ca london england recataloged southwell edward london england sah e
1704,"e 6th 22:B (60-93, 60-97)$ 2nd 25:C Fraser, Fredericke Papers, 1704-1899. 1684 itemse Cotton planter of Beaufort (Beaufort Coe de SeCe A few business letters, but contains mostly bills and receipts from various wholesale companiese Unprocessed collectione Cataloged from accession recordse Addition to Frederick Fraser Papers, 1740-1924. *hab 1e Beaufort (SeCe )—-—-Commercee 2.6 Beaufort (SeCe )—--Historye  NcD 19981201 #40421990 NDHYme",fraser fredericke cotton planter beaufort beaufort coe de sece business mostly bills receipts various wholesale companiese unprocessed collectione cataloged accession recordse frederick fraser hab beaufort sece beaufort sece ncd
1705,"Lloyd, Thomas Papers, 1705-1962  Hillsborough, N. C.  Cab. 69 132 items  3-8-66",lloyd thomas hillsborough cab
1707,"er, Marye  Commonplace book, cae first quarter of the 18th centurye  1 item (117 pe De  Written on paper bearing the watermark of the heraldic arms of Queen Année, 1707-1714, and the countermark  GR"".  Member of the Filmer family of East Sutton, County Kent, and descendant of Sir Robert Filmer (de 1653), English political writere  Book given to Mary Filmer by her grandmother Herriese Contains a collection of quotations copies by Mary([?] or by someone elsee The quotations ar e mostly from the works of divi nes John Tillotson and Isaac Barrowe  28 MAR 89 19465101 NDHYme SEE NEXT CRD Great Britain Papers (Literary), 1707-.1948 v. Pp. in Great Britain  XVIII- F 189 items & 1 vol. l item added, 6-29-61  419-61 items added, 5-22-61 items added, 7-12-61 items added, 7-24-61 items added,8-10-61",er marye commonplace cae quarter centurye pe de written bearing watermark heraldic arms queen année countermark gr member filmer east sutton county kent descendant sir robert filmer de english political writere given mary filmer grandmother herriese quotations copies mary someone elsee quotations ar mostly works divi nes john tillotson isaac barrowe great britain literary great britain xviii
1709,"Oglethorpe, James Edward 4 with Oglethorpe; and their uncle, Major General Hogan who was in Portugal in 1709 or 1710.",oglethorpe james edward oglethorpe uncle major general hogan portugal
1710,"e 2nd 25: Dy  Ovsze Box 10 Carrillo de Albornoz, Jose, duque de Montemare Papers, [cae 1710-1746 ]e 26 ve Duke of Montemar, vigorer of Sicily and Minister of War 1737-1741. Collection contains 26 volumes, 23 of them being papers, and printed piecese His papers are important as they reveal domestic and foreign policy during the reign of Philip Ve A small sampling of topics include the armed strength of European powers, the Catalan campaigns of 1710-20, Montemar's time as Minister of War, conscription, Catalonia, the War of Jenkin s* Bar, hostilities in America, the Corps of Carabineers, artillery and weaponry, Spanish  19 MAR 97 36579464 NDHYme SEE NEXT CRD Porter, James, Sir, 1710-17866  Letter, 1772, Dece 17, Londony Enge,y to John Noursee  1 item (2 pee  Forms parts of: William Baskerville Hamilton Collectione  British diplomate  Describes six teaching positions available in a school established by Empress Catherine of Russia for the education of young gentry and nobilitye Requests recommendations from Nourse, a bookseller in Londone  1e Soviet Union--Nobilitye 2. Catherine II, Empress of Russia, 1729- 17962 3 Education--Soviet Unione 4.6 Nourse, ""™_@ Booksellere  25 OCT 88 18666306 NDHYme Wintringham, Sir Clifton (1710-1794). Papers, 1791. York, Yorkshire, England.  Josiah C. Trent Collection in the History of Medicine--MS:. Div. d  48-60",dy ovsze box carrillo de albornoz jose duque de montemare cae e duke montemar vigorer sicily minister war volumes printed piecese important reveal domestic foreign policy reign philip small sampling topics armed strength european powers catalan campaigns montemars time minister war conscription catalonia war jenkin bar hostilities america corps carabineers artillery weaponry spanish porter james sir dece londony engey john noursee pee forms parts william baskerville hamilton collectione british diplomate describes six teaching positions available school established empress catherine russia education young gentry nobilitye requests recommendations nourse bookseller londone soviet unionnobilitye catherine ii empress russia educationsoviet unione nourse booksellere wintringham sir clifton york yorkshire england josiah trent history medicinems div
1712,"Hinsdale Family  Papers, 1712-1973 50K List m Laventory Fie  Raleigh, Wake County, N.C.  — items &  1 2 items & %; ee sete:  8-1-73 11-23-77  fa (See also bound vol. cards)",hinsdale laventory fie raleigh wake county nc ee sete fa bound cards
1713,"e 2nd 47:B Howland-McInatosh family papers, 1713- 1997 (bulk 1830-1989 ). 2147 items. Families originally from Carteret and Moore Counties, NeCe Correspondence; legal files, including deeds and wills; photographs; many genealogical materials; financial papers; postcards; paper currency} two scrapbooks; and school papers, all relating to the Howland and the McIntosh families from Carteret, Durham, and Moore Counties, NeCe Photographs include tintypes, albumen getate, and one daguerrotypee Many egal files pertain to a Lengthy court  family proper ty on Shackleford Banks, NeCe o the federal 18 NOV 97. 37964048 NDH¥me SEE NEXT CRD  case yproper Qi the transfer of e 2nd 47:D Whiting, Lyman, 1817 1906-6  Papers, 1713-1955e  310 itemse  Massachusetts clergyman and political nomineee  Collection consists of materials documenting his professional Life as a Congregational ministere He attended the Ce 4 ee Institute at East Windson Hill, and Andover Theological Seminary, 1840-42. Records in the collection outline his career, name apointments, offices held, publications, and nominations receivede  There is also personal correspondence, a 1713 will, a Totter from BeBe Edwards, some genealogical information, and a narrative that appears to be his description of  26 NOV 96 36005082 NDHYme SEE NEXT CRD",howlandmcinatosh bulk families originally carteret moore counties nece correspondence legal files deeds wills photographs genealogical materials financial postcards currency scrapbooks school relating howland mcintosh families carteret durham moore counties nece photographs tintypes albumen getate daguerrotypee egal files pertain lengthy court proper ty shackleford banks nece federal case yproper qi transfer whiting lyman massachusetts clergyman political nomineee consists materials documenting professional life congregational ministere attended ce ee institute east windson hill andover theological seminary outline career name apointments offices held publications nominations receivede personal correspondence totter bebe edwards genealogical information narrative appears description
