iso,count,hover_name
AUS,1,Australia
AUT,3,Austria
BEL,1,Belgium
BRA,8,Brazil
CAN,1,Canada
CHL,1,Chile
CHN,5,China
COL,1,Colombia
CUB,4,Cuba
DNK,4,Denmark
EGY,3,Egypt
GBR,65,Great Britain
FJI,1,Fiji
FRA,47,France
DEU,30,Germany
GRC,3,Greece
GRD,2,Grenada
GTM,1,Guatemala
IND,25,India
IDN,1,Indonesia
IRN,1,Iran
IRL,5,Ireland
ISR,3,Israel
ITA,3,Italy
JAM,4,Jamaica
JPN,9,Japan
JOR,13,Jordan
LBN,2,Lebanon
LBR,1,Liberia
MDG,1,Madagascar
MLT,2,Malta
MEX,8,Mexico
MAR,1,Morocco
NZL,1,New Zealand
PER,5,Peru
PHL,3,Philippines
POL,4,Poland
SMR,1,San Marino
ZAF,5,South Africa
ESSP,22,Spain
SUR,1,Suriname
SWE,2,Sweden
CHE,5,Switzerland
SYR,1,Syria
THA,1,Thailand
TUN,1,Tunisia
TUR,3,Turkey
VNM,3,Vietnam
